#TYPE Selected.System.Management.Automation.PSCustomObject
Hostname;DisplayName;Status;SIDs
W008012;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008012;Create permanent shared objects;Match;Empty
W008012;Create symbolic links;N/A;BUILTIN\Administrators
W008012;Debug programs;Match;BUILTIN\Administrators
W008012;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008012;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008012;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008012;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008012;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008012;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008012;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008012;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,FROXXEN\SQLService,FROXXEN\SCCMSQLService
W008012;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008012;Increase a process working set;N/A;BUILTIN\Users
W008012;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008012;Load and unload device drivers;Match;BUILTIN\Administrators
W008012;Lock pages in memory;Match;Empty
W008012;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users,BUILTIN\IIS_IUSRS
W008012;Log on as a service;N/A;FROXXEN\t1fredrik,FROXXEN\SQLService,FROXXEN\SCCMSQLService,FROXXEN\sccm_reports,FROXXEN\sccm_sql_rs,FROXXEN\reportpbi,SQLServer2005SQLBrowserUser$W008012,NT SERVICE\ALL SERVICES,NT SERVICE\PowerBIReportServer,NT SERVICE\SQLTELEMETRY,NT SERVICE\SQLAgent$CM,NT SERVICE\MSSQL$CM,NT SERVICE\MSSQLFDLauncher,NT SERVICE\SQLSERVERAGENT,NT SERVICE\SQLTELEMETRY$CM,NT SERVICE\MSSQLSERVER
W008012;Manage auditing and security log;Match;BUILTIN\Administrators
W008012;Modify firmware environment values;Match;BUILTIN\Administrators
W008012;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008012;Profile single process;Match;BUILTIN\Administrators
W008012;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008012;Remove computer from docking station;N/A;BUILTIN\Administrators
W008012;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,NT SERVICE\SQLAgent$CM,NT SERVICE\MSSQL$CM,NT SERVICE\SQLSERVERAGENT,NT SERVICE\MSSQLSERVER
W008012;Restore files and directories;Match;BUILTIN\Administrators
W008012;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008012;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008014;;N/A;BUILTIN\Administrators
W008014;Access Credential Manager as a trusted caller;Match;Empty
W008014;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008014;Act as part of the operating system;Match;Empty
W008014;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008014;Allow log on locally;Match;BUILTIN\Administrators
W008014;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008014;Back up files and directories;Match;BUILTIN\Administrators
W008014;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008014;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008014;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008014;Create a pagefile;Match;BUILTIN\Administrators
W008014;Create a token object;Match;Empty
W008014;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008014;Create permanent shared objects;Match;Empty
W008014;Create symbolic links;N/A;BUILTIN\Administrators
W008014;Debug programs;Match;BUILTIN\Administrators
W008014;Deny access to this computer from the network;Different;BUILTIN\Guests
W008014;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008014;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008014;Deny log on locally;N/A;BUILTIN\Guests
W008014;Deny log on through Remote Desktop Services;Different;BUILTIN\Guests
W008014;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008014;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008014;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008014;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008014;Increase a process working set;N/A;BUILTIN\Users
W008014;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008014;Load and unload device drivers;Match;BUILTIN\Administrators
W008014;Lock pages in memory;Match;Empty
W008014;Log on as a batch job;N/A;FROXXEN\Task-User-Logon_As_A_Batch_Job-SCCM
W008014;Log on as a service;N/A;FROXXEN\2PXEUser,NT SERVICE\ALL SERVICES,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008014;Manage auditing and security log;Match;BUILTIN\Administrators
W008014;Modify firmware environment values;Match;BUILTIN\Administrators
W008014;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008014;Profile single process;Match;BUILTIN\Administrators
W008014;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008014;Remove computer from docking station;N/A;BUILTIN\Administrators
W008014;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008014;Restore files and directories;Match;BUILTIN\Administrators
W008014;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008014;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008015;;N/A;BUILTIN\Administrators
W008015;Access Credential Manager as a trusted caller;Match;Empty
W008015;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008015;Act as part of the operating system;Match;Empty
W008015;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IME_ADMIN,BUILTIN\Administrators,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008015;Allow log on locally;Match;BUILTIN\Administrators
W008015;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008015;Back up files and directories;Match;BUILTIN\Administrators
W008015;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008015;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008015;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008015;Create a pagefile;Match;BUILTIN\Administrators
W008015;Create a token object;Match;Empty
W008015;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008015;Create permanent shared objects;Match;Empty
W008015;Create symbolic links;N/A;BUILTIN\Administrators
W008015;Debug programs;Match;BUILTIN\Administrators
W008015;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008015;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008015;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008015;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008015;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008015;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008015;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008015;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IME_USER,IME_ADMIN,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008015;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008015;Increase a process working set;N/A;BUILTIN\Users
W008015;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008015;Load and unload device drivers;Match;BUILTIN\Administrators
W008015;Lock pages in memory;Match;Empty
W008015;Log on as a batch job;N/A;IME_USER,IME_ADMIN,BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users,BUILTIN\IIS_IUSRS
W008015;Log on as a service;N/A;IME_ADMIN,NT SERVICE\ALL SERVICES,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008015;Manage auditing and security log;Match;BUILTIN\Administrators
W008015;Modify firmware environment values;Match;BUILTIN\Administrators
W008015;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008015;Profile single process;Match;BUILTIN\Administrators
W008015;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008015;Remove computer from docking station;N/A;BUILTIN\Administrators
W008015;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008015;Restore files and directories;Match;BUILTIN\Administrators
W008015;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008015;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008009;;N/A;BUILTIN\Administrators
W008009;Access Credential Manager as a trusted caller;Match;Empty
W008009;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008009;Act as part of the operating system;Match;Empty
W008009;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008009;Allow log on locally;Match;BUILTIN\Administrators
W008009;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008009;Back up files and directories;Match;BUILTIN\Administrators
W008009;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008009;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008009;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008009;Create a pagefile;Match;BUILTIN\Administrators
W008009;Create a token object;Match;Empty
W008009;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008009;Create permanent shared objects;Match;Empty
W008009;Create symbolic links;N/A;BUILTIN\Administrators
W008009;Debug programs;Match;BUILTIN\Administrators
W008009;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008009;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008009;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008009;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008009;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008009;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008009;Force shutdown from a remote system;Match;BUILTIN\Administrators
